Date,Last Price
7/25/2019,634
7/24/2019,628
7/23/2019,626
7/22/2019,624
7/19/2019,622
7/18/2019,625
7/17/2019,627
7/16/2019,623
7/15/2019,627
7/12/2019,628
7/11/2019,631
7/10/2019,633
7/9/2019,640
7/8/2019,645
7/5/2019,650
7/4/2019,652
7/3/2019,660
7/2/2019,673
7/1/2019,679
6/28/2019,680
6/27/2019,677
6/26/2019,678
6/25/2019,679
6/24/2019,678
6/21/2019,679
6/20/2019,681
6/19/2019,676
6/18/2019,677
6/17/2019,668
6/14/2019,662
6/13/2019,657
6/12/2019,653
6/11/2019,654
6/10/2019,645
6/7/2019,643
6/6/2019,635
6/5/2019,632
6/4/2019,633
6/3/2019,634
5/31/2019,636
5/30/2019,643
5/29/2019,651
5/28/2019,658
5/24/2019,665
5/23/2019,666
5/22/2019,672
5/21/2019,673
5/20/2019,674
5/17/2019,678
5/16/2019,683
5/15/2019,697
5/14/2019,704
5/13/2019,703
5/10/2019,697
5/9/2019,680
5/8/2019,672
5/7/2019,662
5/3/2019,645
5/2/2019,638
5/1/2019,635
4/30/2019,634
4/29/2019,638
4/26/2019,640
4/25/2019,635
4/24/2019,636
4/23/2019,644
4/18/2019,653
4/17/2019,652
4/16/2019,643
4/15/2019,639
4/12/2019,639
4/11/2019,634
4/10/2019,620
4/9/2019,618
4/8/2019,610
4/5/2019,617
4/4/2019,618
4/3/2019,623
4/2/2019,632
4/1/2019,640
3/29/2019,648
3/28/2019,651
3/27/2019,663
3/26/2019,678
3/25/2019,688
3/22/2019,695
3/21/2019,700
3/20/2019,705
3/19/2019,715
3/18/2019,730
3/15/2019,735
3/14/2019,737
3/13/2019,740
3/12/2019,743
3/11/2019,737
3/8/2019,742
3/7/2019,747
3/6/2019,753
3/5/2019,754
3/4/2019,762
3/1/2019,774
2/28/2019,781
2/27/2019,796
2/26/2019,799
2/25/2019,801
2/22/2019,823
2/21/2019,828
2/20/2019,831
2/19/2019,828
2/18/2019,819
2/15/2019,818
2/14/2019,806
2/13/2019,798
2/12/2019,790
2/11/2019,791
2/8/2019,795
2/7/2019,797
2/6/2019,805
2/5/2019,806
2/4/2019,824
2/1/2019,843
1/31/2019,848
1/30/2019,859
1/29/2019,872
1/28/2019,874
1/25/2019,877
1/24/2019,875
1/23/2019,866
1/22/2019,868
1/21/2019,875
1/18/2019,873
1/17/2019,891
1/16/2019,899
1/15/2019,920
1/14/2019,925
1/11/2019,929
1/10/2019,930
1/9/2019,957
1/8/2019,967
1/7/2019,973
1/4/2019,982
1/3/2019,999
1/2/2019,1009
12/24/2018,1252
12/21/2018,1256
12/20/2018,1258
12/19/2018,1266
12/18/2018,1240
12/17/2018,1230
12/14/2018,1223
12/13/2018,1223
12/12/2018,1218
12/11/2018,1212
12/10/2018,1180
12/7/2018,1167
12/6/2018,1168
12/5/2018,1160
12/4/2018,1146
12/3/2018,1129
11/30/2018,1132
11/29/2018,1135
11/28/2018,1133
11/27/2018,1131
11/26/2018,1127
11/23/2018,1130
11/22/2018,1126
11/21/2018,1104
11/20/2018,1107
11/19/2018,1103
11/16/2018,1106
11/15/2018,1099
11/14/2018,1091
11/13/2018,1082
11/12/2018,1086
11/9/2018,1092
11/8/2018,1097
11/7/2018,1104
11/6/2018,1116
11/5/2018,1134
11/2/2018,1143
11/1/2018,1152
10/31/2018,1157
10/30/2018,1150
10/29/2018,1153
10/26/2018,1141
10/25/2018,1121
10/24/2018,1099
10/23/2018,1066
10/22/2018,1051
10/19/2018,1024
10/18/2018,988
10/17/2018,963
10/16/2018,947
10/15/2018,922
10/12/2018,921
10/11/2018,913
10/10/2018,890
10/9/2018,875
10/8/2018,858
10/5/2018,853
10/4/2018,837
10/3/2018,808
10/2/2018,801
10/1/2018,793
9/28/2018,791
9/27/2018,805
9/26/2018,804
9/25/2018,801
9/24/2018,794
9/21/2018,791
9/20/2018,780
9/19/2018,773
9/18/2018,766
9/17/2018,763
9/14/2018,765
9/13/2018,770
9/12/2018,769
9/11/2018,774
9/10/2018,784
9/7/2018,785
9/6/2018,778
9/5/2018,778
9/4/2018,772
9/3/2018,780
8/31/2018,786
8/30/2018,787
8/29/2018,789
8/28/2018,795
8/24/2018,804
8/23/2018,794
8/22/2018,791
8/21/2018,792
8/20/2018,774
8/17/2018,753
8/16/2018,736
8/15/2018,731
8/14/2018,723
8/13/2018,715
8/10/2018,713
8/9/2018,717
8/8/2018,725
8/7/2018,733
8/6/2018,749
8/3/2018,758
8/2/2018,756
8/1/2018,760
7/31/2018,768
7/30/2018,768
7/27/2018,759
7/26/2018,755
7/25/2018,753
7/24/2018,748
7/23/2018,727
7/20/2018,723
7/19/2018,713
7/18/2018,714
7/17/2018,723
7/16/2018,738
7/13/2018,744
7/12/2018,738
7/11/2018,741
7/10/2018,732
7/9/2018,729
7/6/2018,721
7/5/2018,710
7/4/2018,705
7/3/2018,702
7/2/2018,705
6/29/2018,712
6/28/2018,724
6/27/2018,727
6/26/2018,735
6/25/2018,745
6/22/2018,745
6/21/2018,742
6/20/2018,743
6/19/2018,743
6/18/2018,736
6/15/2018,746
6/14/2018,760
6/13/2018,768
6/12/2018,751
6/11/2018,746
6/8/2018,734
6/7/2018,731
6/6/2018,735
6/5/2018,745
6/4/2018,749
6/1/2018,754
5/31/2018,754
5/30/2018,768
5/29/2018,779
5/25/2018,781
5/24/2018,776
5/23/2018,761
5/22/2018,748
5/21/2018,729
5/18/2018,714
5/17/2018,692
5/16/2018,681
5/15/2018,667
5/14/2018,656
5/11/2018,657
5/10/2018,656
5/9/2018,656
5/8/2018,655
5/4/2018,650
5/3/2018,648
5/2/2018,647
5/1/2018,655
4/30/2018,656
4/27/2018,655
4/26/2018,648
4/25/2018,639
4/24/2018,637
4/23/2018,639
4/20/2018,637
4/19/2018,637
4/18/2018,635
4/17/2018,636
4/16/2018,638
4/13/2018,640
4/12/2018,639
4/11/2018,628
4/10/2018,631
